Object,Count,Detection Time
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
table,1,2025-02-28 01:57:41
person,1,2025-02-28 01:57:41
person,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
table,1,2025-02-28 01:57:41
person,1,2025-02-28 01:57:41
person,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
person,1,2025-02-28 01:57:41
person,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
chair,1,2025-02-28 01:57:41
table,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
person,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
chair,1,2025-02-28 01:57:42
